Author,Title,Type_of_Ban,Secondary Author(s),State,District,Date of Challenge/Removal,Origin of Challenge,Latitude,Longitude
"Dominguez, Angela",Stella Díaz Has Something to Say (Stella Díaz Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Donoghue, Emma",The Pull of the Stars,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Dooley, Sarah",Ashes to Asheville,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Dorros, Arthur",Abuela,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Douglass, Frederick",Narrative of the Life of Frederick Douglass,Banned in Libraries and Classrooms,,Oklahoma,Edmond Public Schools,2021-10-01,Administrator,36.084621,-96.921387
"Downham, Jenny",Unbecoming,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Draper, Sharon M.",Blended,Banned in Libraries and Classrooms,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Draper, Sharon M.",Blended,Banned Pending Investigation,,Kansas,Goddard Public Schools,2021-11-01,Administrator,38.5,-98.0
"Draper, Sharon M.",Blended,Banned Pending Investigation,,Tennessee,Hamilton County Schools,2021-10-01,Administrator,35.860119,-86.660156
"Draper, Sharon M.",Blended,Banned in Libraries,,Texas,Clear Creek Independent School District,2022-04-01,Formal Challenge,31.0,-100.0
"Draper, Sharon M.",Darkness Before Dawn,Banned in Classrooms,,North Carolina,Pitt County Schools,2021-11-01,Administrator,35.782169,-80.793457
"Draper, Sharon M.",Forged By Fire,Banned in Classrooms,,North Carolina,Pitt County Schools,2021-11-01,Administrator,35.782169,-80.793457
"Draper, Sharon M.",Panic,Banned in Libraries,,Texas,Cypress-Fairbanks Independent School District,2022-01-01,Administrator,31.0,-100.0
"Draper, Sharon M.",Panic,Banned in Libraries and Classrooms,,Texas,Keller Independent School District,2021-11-01,Formal Challenge,31.0,-100.0
"Draper, Sharon M.",Romiette and Julio,Banned in Libraries,,Florida,Lee County Schools,2022-05-01,Administrator,27.994402,-81.760254
"Dugan, Jennifer",Hot Dog Girl,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Dugan, Jennifer",Verona Comics,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Dumas, Firoozeh","It Ain't So Awful, Falafel",Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Dumas, Marti","Attack of the Swamp Thing (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Dumas, Marti","Mission Star-Power (Jaden Toussaint, the Greatest Series)",Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
